,podcast,episode_num,date_published,year_published,views,likes,comments,video_title
175,Your Mom's House,493.0,2019-04-03,2019,1214926,8915,1522,Your Mom's House Podcast - Ep. 493 w/ Kevin Christy & George Perez
173,Dr.Drew After Dark,8.0,2019-04-05,2019,251750,4768,968,Dr. Drew After Dark w/ Andy Dick - Ep. 08
174,Your Mom's House,494.0,2019-04-10,2019,3189679,41448,5095,"Your Mom's House Podcast - Ep. 494 w/ Joey ""Coco"" Diaz"
172,Dr.Drew After Dark,9.0,2019-04-12,2019,178996,3767,478,Dr. Drew After Dark w/ Brad Williams - Ep. 09
173,Your Mom's House,495.0,2019-04-17,2019,956938,13875,2002,Your Mom's House Podcast - Ep. 495 w/ Rhett & Link
171,Dr.Drew After Dark,10.0,2019-04-19,2019,346378,7387,1141,Dr. Drew After Dark w/ Duncan Trussel - Ep. 10
172,Your Mom's House,496.0,2019-04-24,2019,454014,8108,2049,Your Mom's House Podcast - Ep. 496 w/ Try It Out Guy & Scott Thompson
170,Dr.Drew After Dark,11.0,2019-04-26,2019,90255,1927,197,Dr. Drew After Dark w/ Adam Ray - Ep. 11
171,Your Mom's House,497.0,2019-05-01,2019,648694,8705,2129,Your Mom's House Podcast - Ep. 497 w/ Dane Cook & Ryan Stout
169,Dr.Drew After Dark,12.0,2019-05-03,2019,94665,1682,479,Dr. Drew After Dark w/ Claire Titelman - Ep. 12
170,Your Mom's House,498.0,2019-05-08,2019,559920,4852,1392,Your Mom's House Podcast - Ep. 498 w/ Sera Gamble & Heath Evans
168,Dr.Drew After Dark,13.0,2019-05-10,2019,188934,3406,524,Pete Holmes | Dr. Drew After Dark Ep. 13
169,Your Mom's House,499.0,2019-05-15,2019,1058315,16430,3335,Your Mom's House Podcast - Ep. 499 w/ Ethan Klein
167,Dr.Drew After Dark,14.0,2019-05-17,2019,158087,3315,479,Josh Potter | Dr. Drew After Dark Ep. 14
168,Your Mom's House,500.0,2019-05-22,2019,567728,13958,2629,Your Mom's House Podcast - Ep. 500 w/ Brendon Urie
166,Dr.Drew After Dark,15.0,2019-05-24,2019,152389,2925,282,Jeff Ross | Dr. Drew After Dark Ep. 15
167,Your Mom's House,501.0,2019-05-29,2019,358257,4373,1902,Your Mom's House Podcast - Ep. 501 w/ Adam Ray & Maz Jobrani
165,Dr.Drew After Dark,16.0,2019-05-31,2019,89039,1927,291,Dr. Drew After Dark w/ Mike Catherwood - Ep. 16
166,Your Mom's House,502.0,2019-06-05,2019,371859,4782,1484,Your Mom's House Podcast - Ep. 502 w/ Jim Gaffigan & Andrew Collin
164,Dr.Drew After Dark,17.0,2019-06-07,2019,383754,7259,916,Dr. Drew After Dark w/ LeeAnn Kreischer - Ep. 17
165,Your Mom's House,503.0,2019-06-12,2019,457140,7790,3278,Your Mom's House Podcast - Ep. 503
163,Dr.Drew After Dark,18.0,2019-06-14,2019,129579,2921,332,Dr. Drew After Dark w/ Ryan Sickler | Episode 18
164,Your Mom's House,504.0,2019-06-19,2019,1321583,19350,4796,Your Mom's House Podcast - Ep. 504 w/ Tigerbelly
162,Dr.Drew After Dark,19.0,2019-06-21,2019,91576,1734,213,Dr. Drew After Dark w/ Joe List - Ep. 19
163,Your Mom's House,505.0,2019-06-26,2019,1333881,24193,6865,Your Mom's House Podcast - Ep. 505 w/ Theo Von
161,Dr.Drew After Dark,20.0,2019-06-28,2019,146828,3163,481,Dr. Drew After Dark w/ Seth Green | Ep. 20
146,2 Bears 1 Cave,1.0,2019-07-01,2019,1359764,34782,4385, Tom Segura & Bert Kreischer | Ep. 01
162,Your Mom's House,506.0,2019-07-03,2019,657293,6955,2668,Your Mom's House Podcast - Ep. 506 w/ Amanda Cerny & Steve Byrne
160,Dr.Drew After Dark,21.0,2019-07-05,2019,105533,1921,314,Dr. Drew After Dark w/ Jamie Kennedy - Ep. 21
156,Where My Moms At Podcast,1.0,2019-07-08,2019,147651,4311,513,Where My Moms At Podcast | Ep. 01 w/ LeeAnn Kreischer
161,Your Mom's House,507.0,2019-07-10,2019,398649,6880,2203,Your Mom's House Podcast - Ep. 507 w/ DMC
159,Dr.Drew After Dark,22.0,2019-07-12,2019,98296,2175,210,Dr. Drew After Dark w/ Jimmy O. Yang | Ep. 22
145,2 Bears 1 Cave,2.0,2019-07-15,2019,1272787,27003,2806, Tom Segura and Bert Kreischer | Ep. 02
155,Where My Moms At Podcast,2.0,2019-07-15,2019,42017,1448,220,Where My Moms At Podcast w/ Doula Mitzy Sanchez | Ep. 02
160,Your Mom's House,508.0,2019-07-17,2019,1019096,8279,1867,Your Mom's House Podcast - Ep. 508 w/ Johnny Pemberton & Geoff Tate
158,Dr.Drew After Dark,23.0,2019-07-19,2019,63612,1089,211,Dr. Drew After Dark w/ Taylor Williamson | Ep. 23
154,Where My Moms At Podcast,3.0,2019-07-22,2019,41629,1168,130,Where My Moms At Podcast w/ Cindy Arora | Ep. 03
159,Your Mom's House,509.0,2019-07-24,2019,505549,8884,2471,Your Mom's House Podcast (Solo) - Ep. 509
